ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
pastor,כומר,dissidents,מי שמתנגד למשטר,deprive,"קיפח, מנע, שלל",fused,"מותך, מאוחד",magnified,הוגדל,rode,לרכב,priority,"זכות קדימה, עדיפות",heavenly,שמימי או יפה מדהים,capitulate,להיכנע,brought in,"הביא, מוכנס",restraint,"הבלגה, איפוק",flammable,דליק,,
,,,,,,,,,,,,,,,,,,put down,"1.לדכא 2.להניח, להשים",,,enumerate,"למנות, לפרט",,
levity,קלות ראש,retaliate,"גמל, נקם",suitor,1. מחזר 2.תובע,trawl,דג בעזרת מכמורת,exceeded,"חרג, עבר",pale,"חיוור, חסר צבע",probable,"סביר, הגיוני ",humility,"צניעות, ענווה",,,,,standpoint,נקודת מבט,collaborate,לשתף פעולה,,
hubbub,"המולה (של אנשים) -  רעש, שאון",multiple,"מרובה, מוכפל",commoner,פשוטי עם,placid,"שקט, רגוע",plundered,"נשדד, נבזז",huffily,בצפיפות,procedure ,"הליך, נוהל",immature,"לא בוגר, ילדותי",discrete,"בדיד, שאינו רציף, נבדל",discharge,"פריקה, שיחרור",fond,מחבב,haul,"לגרור, למשוך",,
ICU,יחידה לרפואה דחופה,hindered,"מנע, עיכב",halter,"אפסר, חבל תלייה",hailing,לקרוא למישהו כדי למשוך את תשומת הלב,vagueness,"אי בהירות, ערפול",holster,נרתיק,prosecute,"להעמיד לדין, לתבוע",immodest,"לא צנוע, שחצן",confide,"1.לספר סוד 2.לבטוח, להאמין (אני מספר סוד כי אני מאמין בו)",notion,"רעיון, מושג",tarmac,מסלול המראה,passage,"מעבר, קטע",,
swoon,"להתעלף, לאבד הכרה",redo,עשה מחדש,ensemble,"מכלול, להקה",blockade,"מצור, הסגר",neurosis,הפרעה נפשית,robe,"חלוק, גלימה",prosecution,"תביעה, העמדה לדין",impartial,"אובייקטיבי, לא משוחד",concede,1.להודות 2.לוותר ,debt,חוב,Denim,גינס,fanciful,דמיוני,,
plaid,"אריג, משובץ",retaliation,"גמול, נקמה",windowsill,אדן החלון,fertilizer,דשן,refreshment,2.כיבוד 1.התרעננות,aorta,אבי העורקים,provision ,"לספק, אספקה ",impassioned,"נרגש, נלהב",contested,"התמודדו, התחרו",intrinsic,"מהותי, פנימי",fanfare,"קול תרועה, קול רעש",omniscient,יודע כל,,
blouse,חולצה ארוכה (בעיקר של נשים שמכסה את כל הגוף עד מפרק כף היד),retail,קמעוני,disputed,שנוי במחלוקת,camper,חניך,falsify,לזייף,slab,לוח,proximity  ,"סמיכות, קרבה ",impatient,"קצר רוח, חסר סבלנות",defect,1.פגם 2.לערוק,dainty,"מעודן, עדין",knob,1.ידית עגולה 2.כפתור סיבובי,,,,
dodge,"להתחמק, להימנע ממפגש עם",cherished,"העריך, הוקיר",besieged,להטיל מצור,kindred,"קרוב, מקורב",deafen,"להחריש אוזניים, להרעיש מאוד",contrarian,מנוגד,pulse ,"לדפוק, להלום ",improbable,לא סביר,worn,1.נלבש 2.נשחק,futile,1.חסר תועלת 2.עקר,rejoice,לשמוח מאוד,remorseful,מלא חרטה,,
,,,,,,,,,,,,,,,,,,litigious,מתדיינים (בבית משפט),,,incontrovertible,בלתי ניתן לערעור,,
tureen,כלי קיבול למאכלים שמבשלים אותם,pour,"שפך, מזג",repute,"מוניטין, שם",foal,סיח (סוס צעיר),hyped up,נרגש,loitering,שוטטות,pacify,"להרגיע, לשכך",impure,לא טהור,debate,"1.לדון 2.דיון, ויכוח ",perish,"למות, לכלות",,,democratized,הפיכת משהו לנגיש,,
sacredness,קדושה,casualties,"נפגעים, קורבנות",scrape,"שפשוף, קרצוף",pup,בעל חיים צעיר,uproot,לעקור מן השורש,livid,1. כחול- אפור 2. מרוגז,pacifier ,1.מוצץ  2.דבר מרגיע,incompetent,"לא מוכשר, חסר כישורים נאותים",conspirator,"קושר, זומם",drizzle,"זרזיף, מעט מים",panting,"מתנשף, התנשפות",metamorphosis,"שינוי צורה, התגלמות",,
cursor,סמן (במחשב),Thawing,הפשרה,scarlet,"אדום, ארגמן",rescind,ביטל את התוקף,feign,"להעמיד פנים, להתחזות",stencil,שבלונה,painstaking ,"מדוקדק, קפדני",inconsolable,שלא ניתן לנחמו,educator,מחנך,put out,1.לכבות 2.לגרום לאי נוחות,fabled,1.מפורסם מאוד 2.אגדי,relentless,"חסר רחמים, נוקשה",,
fierce,"עז, פראי",treason,בגידה,drape,"תלה, עיטר",frosty,"קריר, צונן",demean,להשפיל,irked,"עיצבן, הרגיז",pant,"להתנשף, התנשפות",inconvenient,"לא נוח, לא מתאים",valiant ,אמיץ,withheld,"להשהות, להימנע מלתת משהו",epitaph,כיתוב על מצבה,galvanize,"1.דרבן, עורר 2.לצפות משהו במתכת",,
pained,כואב (נמצא במצב כזה),sediment,"שיקע, השקיע",ubiquitous,בעל יכולת להימצא בכל מקום,masse,המוני,meddle,להתערב בענייני הזולת,stud,"תקע, נעץ",paramount,"עליון, חשוב ביותר",inert,"אדיש, שאינו פעיל",venerated,"העריץ, כיבד ",crucial,מכריע,poacher,צייד לא חוקי,treatise,"חיבור, מאמר",,
hare,"ארנבת, ארנב",dim,"עימעם, עימם",boisterous,"רועש, סוער, קולני",explicit,"מפורש,  ברור",acrimonious,"כועס, מר",cagey,מופנם,partake,"להשתתף, לקחת חלק",ingenious,"גאוני, מתחכם",conflicted,1.מתנגד 2.מסוכסך,variegated,"ססגוני, מנומר",reintroduce,להציג מחדש,lenient,"סלחן, מקל",,
readmitted,התקבל מחדש,erosion,סחיפה,plaudit,"תשואות, מחיאות כפיים",assimilation,"הטמעה, התבוללות",trample,"לרמוס, לדרוך",brusquely,"בגסות, בבוטות",take off,1.להמריא 2.להתפשט 3. לחלוץ משהו,inhospitable,"לא מסביר פנים, עוין",aggravated ,"הכעיס, הרגיז ",outdated,מיושן,kin,קרובי משפחה,acumen,"חוכמה, תבונה",,
,,,,,,,,,,,,,,,,expropriated,הופקע (מרכוש פרטי לציבורי),deception,הונאה,reel,סליל,forge,"1.זייף 2.חישל, עיצב (יצר משהו)",,
suboccipital,תת - עורפי,accommodations,"מגורים, דיור",toga,"טוגה, גלימה רשמית שהייתה לבוש רשמי ברומה עתיקה",ambiguity,דו משמעות,bristle,1.שיער או סיב 2. לכעוס,bulging,בולט,pastime,"בילוי, תחביב",inseparable,בלתי נפרד,,,,,rivulet,"נחל קטן, פלג",impeccable,"ללא רבב, מושלם",,
occipital,עורפי (עורף),compression,דחיסה,starkly,"באופן בוטה, בנוקשות",blackout,הפסקת חשמל,twicthy,חסר מנוחה,lanky,גבוה ורזה,patch ,"1.לחבר בטלאי, טלאי 2.כתם 3.תחבושת ",insolent,"חצוף, מעליב",polarity,קוטביות,culminated,הגיע לשיא,exceed,"לחרוג, לעבור את",orator,"נואם, דובר",,
recited,דיקלם,broadband,בעל טווח תדרים רחב,rapture,"התלהבות, אקסתזה",prose,"פרוזה, סיפורת :(",fortify,"לבצר, לחזק",arrayed,ערוך,paternal ,אבהי,integrity,"יושר, הגינות",perfect,1.לשכלל 2.מושלם,impressionable,ניתן להשפיע,bouquet,1.זר פרחים 2.ארומה של יין,compromising,התפשרות,,
urgency,"דחיפות, נחיצות",mishap,"תאונה, תקלה",shush,"השקיט, הסכית",incinerate,"שרף, איפרר",extort,לסחוט (כסף),callus,יבלת,patronize,להתנשא,intriguing,"מסקרן, מעורר עניין",perceived ,"נתפס, הובן",backbone,עמוד השדרה,cellar,מרתף (לאחסון יין או מזון),cradling,"עריסה, אחיזה בעדינות",,
indignant,"מתרעם, כועס",biodiversity,מגוון ביולוגי,whoop,"צעקה, שאגה",condos,בית משותף,matriarch,אישה מכובדת שעומדת בראש משפחה או שבט,abrasion,"שחיקה, פספוס",pavement ,מדרכה,introspection,התבוננות פנימית,transparent,שקוף,revised,מתוקן,volatile,1.תנודתי 2.הפכפכך 3.נפיץ,camaraderie,חברות אמת,,
profanity,ניבולי פה,meadow,"אחו, מרעה",hiss,"ללחוש, לשרוק",womb,רחם,outdo,להצליח יותר מ,glib,קל לשון,paw,"כפה, כף של בעל חיים",irreconcilable,"שלא ניתן לפיוס, שלא מתיישב עם דבר",rust,חלודה,intercept,לעכב,palate,חך (החלק העליון בפה),sterile,"סטרלי, מעוקר",,
exhortation,דברי תוכחה,shepherd,1.רועה צאן 2. כומר,rite,טקס פולחני,millennia,אלפי שנים,increment,"תוספת, גידול",heretic,כופר,peculiar,"ייחודי, יוצא דופן",irresistible,שלא ניתן לעמוד בפניו,eject,1.לפלוט 2.לגרש,congregate,להתאסף,candid,"גלוי, כן",blissful,מאושר,,
,,,,,,,,,,,,,,,,,,apatheic,אדיש,doomed,"אבוד, אבדון",thwarted,"להכשיל, לסכל",,
tidal,גאות ושפל (עליה וירידה),Passersby,עוברי אורח,composite,מורכב,inclusion,הכללה,wear out,"לשחוק, להתיש",knot,קשר,peculiarly ,"מוזרות, מושנות",,,revere,להעריץ,,,,,,,,
sorted,ממוין,waddle,הילוך מתנודד,stationary,"נייח, קבוע",cloven-hoofed,פרסה שסועה,berserk,משתולל כמו מטורף,facilitate ,"לאפשר, לסייע בעשיית דבר מה",peddle,"למכור, לסחור",laden,עמוס,segregated,"מובדל, מופרד",derail,להוריד מהפסים,magnitude,"גודל, חשיבות",ignorant,"בור, חסר השכלה",,
bedridden,מרותק למיטה,lay off,פיטר,netting,רשת חוטים,biodiversity,מגוון ביולוגי,diffidence,"ביישנות, חוסר ביטחון",by all means,בהחלט,peep,1.להציץ 2.לצפצף,lavish,"בזבזני, פזרני",detestable,מתועב,belittle,לזלזל בערך,portion,1.מנה 2.חלק,constrained,"מוגבל, מאולץ",,
cane,מקל,tampering,"התערב, חיבל",liability,"חוב, התחייבות",misusing,שימוש לרעה,palpitate,פועם במהירות,prospects ,"סיכויים, אפשרות",peer,1.להשקיף 2.עמית לעבודה או ללימודים,limber,1.גמיש 2.זריז,spasm,1.התקף 2.עיוות,testify,להעיד,stress,"לחץ, מתח",proclamation,"הכרזה, הצהרה",,
raft,"רפסודה, דבורה",arouse,"עורר, דירבן",thereby,"על ידי כך, בזאת",carriageways,כבישים,subsist,"להתקיים, לחיות על",invariable ,"קבוע, לא משתנה",penalty,"עונש, קנס",loathe,"לתעב, לשנוא",vehemently,בלהט,coaster,תחתית,adversary,"יריב, מתנגד",narration,"קריינות, הגשת סיפור",,
marrow,לשד העצמות,compassionate,"רחום, רחמנות ",quadrant,רביע,bombardment,הפגזה,frightful,"מפחיד, מבהיל, נורא",foe,אויב,pending ,"בציפייה ל, תלוי ועומד",madly,"בטירוף, שיגעון",exulting,"צוהל, שמח",roller coaster,רכבת הרים,assembly,"1.אסיפה, כינוס 2.הרכב",transcend,1.להתעלות 2.לחרוג מגבולות,,
pang,כאב פתאומי,spine-chilling,מצמרר בעמוד השדרה,wagon,"עגלה, קרון משא",soot,פיח,punctuality,"דיוק, דייקנות",magnitude,"משמעות, גודל, שיעור מסויים",perception ,"תפיסה, חישה",malodorous,מסריח,astray,"שולל, שלא בדרך הישר",termination,סיום,bypass,מעקף,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
quartile,ריבעון,ominous,מבשר רעות,exhorted,שכנע,dough,בצק,legible,קריא,impartial,"הוגן, נייטרלי",perceptive ,"חד עין, מהיר תפיסה",maturity,"בגרות, בשלות",deformity,"מום, עיוות הצורה",hastened,זירז ,due,"צפוי, חל",despair of,ייאוש מ,,
angst,חרדה,Allegedly,"לכאורה, כביכול",abacus,חשבונייה,infamous,"ידוע לשמצה, מזעזע",admonished,ננזף,stratum,"שכבה, רובד",peril,"לסכן, סכנה",meager,"זעום, מעוט",deceit,"תרמית, הונאה",strove,השתדל,explicit,"מפורש, ברור",longevity,אריכות ימים,,
embodied,"לגלם, להמחיש",torment,"סבל, עינוי",partition,"חלוקה, מחיצה, חייץ",incinerated,"שרף, איפרר",curating,"אצר תערוכה, שימש כאוצר בתערוכה",zest,"שמחת חיים, שביעות רצון",perilous,מסוכן,meticulous,"מוקפד, מדוקדק",eclipse,1.להאפיל 2.ליקוי חמה,utility,תועלת,stratum,"שכבה, רובד",longitude,קו אורך,,
mounds,ערימות,fatalities,הרוגים,papacy,אפיפיוריות (נצרות),bleaching,הלבנה,sachet,שקית פלסטיק,annex,"תוספת, לספח",periodic,"מחזורי, תקופתי ",mighty,"אדיר, רב עוצמה",,,prevalent,נפוץ,chauffeur,נהג,staggering,"מדהים, מפתיע",,
debilitated,מוחלש,erratic,"בלתי יציב, בלתי צפוי",infidel,כופר,stroll,"טייל, שוטט",meager,"מועט, דל",heresy,כפירה ,perish ,"אבד, ירד לטימיון",monumental,"כביר, עצום",eligible,"1.זכאי, ראוי 2.כשיר ",exotic,"אקזוטי, יוצא דופן",distribution,"הפצה, תפוצה",secretion,"הפרשה, להפריש",,
receding ,"נסוג, לסגת",reignited,הצית מחדש,triumvirate,שלטון משותף של 3 מנהיגים,grant,"מענק, מלגה",walkout,"שביתה, עזיבה לשם מחאה, עזיבה הפגניתית",equivocal,לא חד משמעי,permeate ,"לחדור, לפעפע ",mundane,"יום יומי, שגרתי",elongate,להאריך,majestic,מלכותי,tension,"מתח, מתיחות",,,,
adamant,"נחוש, עקשן",extradite,הסגיר (למדינה אחרת),bayonet,כידון,consecutive,"רציף, המשכי",hoax,מתיחה,disinfect,לחטא,perpetual ,"נצחי, תמידי",municipal,עירוני,embed,"לשבץ, להטמיע",fortitude,"עז רוח, כוח מוסרי",illusive,"מתעתע, אשלייתי",ephemeral,"חולף, זמני מאוד",,
,,,,,,,,dupe,"רימה, היטעה",,,,,,,,,,,,,plowed,חרוש,,
surreal,"לא מציאותי, דמיוני",fraudulent,"מרמה, שמקורו בהונאה",thrust,דחף,ferocious,פראי,maim,הטיל מום,deter,"להרתיע, למנוע",perpetuate ,להנציח,nerve-wracking,"מורט עצבים, גורם לחששות כבדים",,,souvenir,מזכרת,abolish,"לבטל, למגר",posterity,"צאצאים, הדורות הבאים",,
disorienting,מבלבל,standout,בולט,jeopardize,סיכן,airlifted,הטיס ברכבת אוויר,,,drab,"משעמם, חסר צבע (אפור)",perplexed ,"להביך, לבלבל, מבולבל ",appall,"לזעזע, להבהיל",embellish,"1.לקשט, לייפות 2.להגזים (פרטים בסיפור)",wreath,זר,dawned on,הגעתי להבנה (נפל האסימון),immortalize,להנציח,,
cogitate,"להרהר, לשקול לעומק",scourge,"פגע, ייסורים",incarnation,התגלמות,corrosive,"מאכל, הרסני ",downward,"כלפי מטה, יורד",velocity,מהירות,persevere ,"להתמיד, להתעקש (למרות קושי)",,,emblem,"סמל, סימן",restorer,משחזר,diminish,"להפחית, לצמצם",goad,"לדרבן, להמריץ",,
justification,הצדקה,extraterrestrial,"חוצני, מהחלל החיצון",prevail,לגבור,dilute,לדלל,dote upon,להרעיף תשומת לב ואהבה,postpone,לדחות,perseverance ,"התמדה, התעקשות",,,embody,1.לגלם 2.להמחיש,plantation,מטע,liable,אחראי,duet,יצירה שמובצעת על ידי 2 אנשים,,
